Common Name,Alternative Names,Expiration Date,Creation Date
www.google.com,www.google.com,2025-01-27 08:39:36,2024-11-04 08:39:37
*.google.com,"*.google.com, *.appengine.google.com, *.bdn.dev, *.origin-test.bdn.dev, *.cloud.google.com, *.crowdsource.google.com, *.datacompute.google.com, *.google.ca, *.google.cl, *.google.co.in, *.google.co.jp, *.google.co.uk, *.google.com.ar, *.google.com.au, *.google.com.br, *.google.com.co, *.google.com.mx, *.google.com.tr, *.google.com.vn, *.google.de, *.google.es, *.google.fr, *.google.hu, *.google.it, *.google.nl, *.google.pl, *.google.pt, *.googleapis.cn, *.googlevideo.com, *.gstatic.cn, *.gstatic-cn.com, googlecnapps.cn, *.googlecnapps.cn, googleapps-cn.com, *.googleapps-cn.com, gkecnapps.cn, *.gkecnapps.cn, googledownloads.cn, *.googledownloads.cn, recaptcha.net.cn, *.recaptcha.net.cn, recaptcha-cn.net, *.recaptcha-cn.net, widevine.cn, *.widevine.cn, ampproject.org.cn, *.ampproject.org.cn, ampproject.net.cn, *.ampproject.net.cn, google-analytics-cn.com, *.google-analytics-cn.com, googleadservices-cn.com, *.googleadservices-cn.com, googlevads-cn.com, *.googlevads-cn.com, googleapis-cn.com, *.googleapis-cn.com, googleoptimize-cn.com, *.googleoptimize-cn.com, doubleclick-cn.net, *.doubleclick-cn.net, *.fls.doubleclick-cn.net, *.g.doubleclick-cn.net, doubleclick.cn, *.doubleclick.cn, *.fls.doubleclick.cn, *.g.doubleclick.cn, dartsearch-cn.net, *.dartsearch-cn.net, googletraveladservices-cn.com, *.googletraveladservices-cn.com, googletagservices-cn.com, *.googletagservices-cn.com, googletagmanager-cn.com, *.googletagmanager-cn.com, googlesyndication-cn.com, *.googlesyndication-cn.com, *.safeframe.googlesyndication-cn.com, app-measurement-cn.com, *.app-measurement-cn.com, gvt1-cn.com, *.gvt1-cn.com, gvt2-cn.com, *.gvt2-cn.com, 2mdn-cn.net, *.2mdn-cn.net, googleflights-cn.net, *.googleflights-cn.net, admob-cn.com, *.admob-cn.com, googlesandbox-cn.com, *.googlesandbox-cn.com, *.safenup.googlesandbox-cn.com, *.gstatic.com, *.metric.gstatic.com, *.gvt1.com, *.gcpcdn.gvt1.com, *.gvt2.com, *.gcp.gvt2.com, *.url.google.com, *.youtube-nocookie.com, *.ytimg.com, android.com, *.android.com, *.flash.android.com, g.cn, *.g.cn, g.co, *.g.co, goo.gl, www.goo.gl, google-analytics.com, *.google-analytics.com, google.com, googlecommerce.com, *.googlecommerce.com, ggpht.cn, *.ggpht.cn, urchin.com, *.urchin.com, youtu.be, youtube.com, *.youtube.com, music.youtube.com, *.music.youtube.com, youtubeeducation.com, *.youtubeeducation.com, youtubekids.com, *.youtubekids.com, yt.be, *.yt.be, android.clients.google.com, *.android.google.cn, *.chrome.google.cn, *.developers.google.cn",2025-01-27 08:37:46,2024-11-04 08:37:47
*.whatsapp.net,"*.whatsapp.net, *.cdn.whatsapp.net, *.snr.whatsapp.net, *.whatsapp.com, wa.me, whatsapp.com, whatsapp.net",2024-12-18 23:59:59,2024-09-19 00:00:00
www.globo.com,"www.globo.com, globo.com",2025-08-20 23:59:59,2024-08-20 00:00:00
*.www.tiktok.com,"*.www.tiktok.com, www.tiktok.com",2025-11-10 23:59:59,2024-11-11 00:00:00
*.www.instagram.com,"*.www.instagram.com, www.instagram.com",2024-12-18 23:59:59,2024-10-17 00:00:00
*.facebook.com,"*.facebook.com, *.facebook.net, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, messenger.com",2024-12-18 23:59:59,2024-09-19 00:00:00
*.google.com.br,"*.google.com.br, google.com.br",2025-01-27 08:40:03,2024-11-04 08:40:04
*.uol.com.br,*.uol.com.br,2025-07-04 23:59:59,2024-06-05 00:00:00
*.kwai.com,"*.kwai.com, kwai.com",2025-08-31 09:22:22,2024-07-30 09:22:23
*.mercadolivre.com.br,"*.mercadolivre.com.br, mercadolivre.com.br",2025-12-04 23:59:59,2024-11-05 00:00:00
x.com,"*.x.com, cdn.syndication.x.com, x.com",2025-02-05 15:53:11,2024-11-07 15:53:12
www.amazon.com.br,"amazon.com, amazon.com.br, www.amazon.com, www.amazon.com.br, origin-www.amazon.com.br, p-nt-www-amazon-com-br-kalias.amazon.com.br, p-yo-www-amazon-com-br-kalias.amazon.com.br, p-y3-www-amazon-com-br-kalias.amazon.com.br",2025-04-01 23:59:59,2024-04-24 00:00:00
chatgpt.com,"chatgpt.com, *.chatgpt.com",2025-03-06 00:29:31,2024-12-05 23:29:35
outlook.live.com,"outlook.live.com, outlook-sdf.live.com, attachment.outlook.office.net, attachment.outlook.officeppe.net, hotmail.com, *.calendar.live.com, *.hotmail.com, *.live.com, *.mail.live.com, afd-l.office.com, live.com, *.nrb.footprintdns.com, *.fp.measure.office.com, premium.outlook.com",2025-12-11 23:59:59,2024-12-11 00:00:00
*.shopee.com.br,"*.shopee.com.br, shopee.com.br",2025-05-21 02:42:10,2024-04-19 02:42:11
betnacional.com,"betnacional.com, *.betnacional.com",2025-02-09 08:33:57,2024-11-11 08:33:58
*.whatsapp.net,"*.whatsapp.net, *.cdn.whatsapp.net, *.snr.whatsapp.net, *.whatsapp.com, wa.me, whatsapp.com, whatsapp.net",2024-12-18 23:59:59,2024-09-19 00:00:00
gov.br,"gov.br, www.gov.br",2025-06-16 14:46:12,2024-05-15 14:46:13
